dataset,source,algorithm,metric,Normalization,Dimensionality_Reduction,final_width,time_prep_mean,time_prep_std,time_fit_mean,time_fit_std,total_time_mean,total_time_std,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std
ALL,ALL,ALL,ALL,ALL,Sim,0.015625,0.7109436033333623,1.2615308285691442,0.0031900425185071657,0.003428351521309426,0.7141336458518694,1.2644556390559598,45880.20065215463,317400.0832482421,0.3242012796340139,0.22916714767754554,0.062235270257933725,0.11576357490242774
ALL,ALL,ALL,ALL,ALL,Sim,0.03125,0.7109436033333623,1.2615308285691442,0.0028583559259573467,0.0031538822359008507,0.7138019592593197,1.2641833738110693,47410.748745126286,330074.077115756,0.33416784762330476,0.23101915739923362,0.06540390970010528,0.11854946928631854
ALL,ALL,ALL,ALL,ALL,Sim,0.0625,0.7109436033333623,1.2615308285691442,0.0025266845925943433,0.0028413865737637652,0.7134702879259567,1.263912596136736,48019.71636069525,335308.42474765994,0.34958864744140145,0.23661853168477032,0.05172462227818191,0.10834260271776314
ALL,ALL,ALL,ALL,ALL,Sim,0.125,0.7109436033333623,1.2615308285691442,0.0022015165925430742,0.002587402553621667,0.7131451199259053,1.2636676267335427,58651.701409838366,410187.0766043513,0.4146174456810313,0.23966831882110054,0.04260696138425405,0.09892128088368064
ALL,ALL,ALL,ALL,ALL,Sim,0.25,0.7109436033333623,1.2615308285691442,0.0018933782221439563,0.0025687070446989415,0.7128369815555062,1.2636106614684381,59462.50612605086,419883.97340323264,0.5157772039575649,0.212530000664442,0.02363837690631929,0.08163657260815682
ALL,ALL,ALL,ALL,ALL,Sim,ALL,0.6964887799999512,1.2287983896422516,0.002283661409359185,0.0029479137823037443,0.6987724414093104,1.2308469960885322,52840.11926291525,365162.98597539216,0.3668895770368847,0.23611905303351532,0.05513322828683769,0.11268897121155265
ALL,ALL,ALL,ALL,ALL,Sim,,0.6870617213042483,1.207196098809921,0.0021204000000178856,0.0029221724222641982,0.6891821213042663,1.2089795093325086,53463.039656921006,365225.97282945726,0.3614586153989434,0.23368741647403815,0.05905370666606303,0.11636667769286557
ALL,ALL,ALL,ALL,MinMax,ALL,0.015625,0.6545221683334603,1.1264227061928076,0.002954515296319305,0.0022327459741352087,0.6574766836297796,1.1283793059585152,2.033902089799856,2.3753363306320177,0.4000303999545122,0.20849662417756923,0.41549950004601044,0.3822640661988164
ALL,ALL,ALL,ALL,MinMax,ALL,0.03125,0.6545221683334603,1.1264227061928076,0.002658196592612327,0.002049312358970708,0.6571803649260727,1.1282101153583262,2.0773302251271146,2.424034305193829,0.4007411162673902,0.20966103148508866,0.4075553319156415,0.37977757378640226
ALL,ALL,ALL,ALL,MinMax,ALL,0.0625,0.6545221683334603,1.1264227061928076,0.002365301407360761,0.0018443749976500936,0.6568874697408211,1.1280199027654405,2.1587477642051933,2.501691313909864,0.4111995920316769,0.21608286024492368,0.3947506848682091,0.3785177666856876
ALL,ALL,ALL,ALL,MinMax,ALL,0.125,0.6545221683334603,1.1264227061928076,0.002061914888933291,0.0017030737059950615,0.6565840832223936,1.1279009167841636,2.351552223998624,2.7955549923390084,0.43435876471507034,0.21096259184236485,0.3617852916341228,0.3729899160921396
ALL,ALL,ALL,ALL,MinMax,ALL,0.25,0.6545221683334603,1.1264227061928076,0.001742035592573319,0.0016459512030893458,0.6562642039260337,1.127818383220473,2.63593788300161,3.113167755589787,0.48644551948901416,0.20561611727624649,0.29619314835743393,0.3438962357821786
ALL,ALL,ALL,ALL,MinMax,ALL,ALL,0.6488088316666107,1.149316397579891,0.0020870711988364076,0.0020035478177253332,0.6508959028654472,1.1506618497798087,2.147230761233696,2.533071035348793,0.4027032256593061,0.21014637619610543,0.3676399599485903,0.37066681128855394
ALL,ALL,ALL,ALL,MinMax,ALL,,0.6450827425360568,1.164121750575004,0.0019114267053211517,0.002015534460818608,0.646994169241378,1.1652783762940986,2.07923297254275,2.440699975676982,0.3910056085022957,0.20784650820960493,0.36273767859052947,0.36824210898858245
ALL,ALL,ALL,ALL,MinMax,Não,0.015625,0.5930805820000387,1.029656693157043,0.0028846937777981725,0.0018296742017175757,0.595965275777837,1.0311895066054493,1.7252464663230753,2.1838624096240595,0.4354597999841444,0.1990340942273668,0.48718211195191147,0.377456362046735
ALL,ALL,ALL,ALL,MinMax,Não,0.03125,0.5930805820000387,1.029656693157043,0.002596859777807014,0.001664532890707792,0.5956774417778458,1.0310505059046635,1.7618215643586541,2.227909349077617,0.4360617850603218,0.201358434266431,0.47567346762805673,0.37747059874329886
ALL,ALL,ALL,ALL,MinMax,Não,0.0625,0.5930805820000387,1.029656693157043,0.0023230515555284115,0.0015330297940172287,0.5954036335555671,1.0309123004103182,1.8353618543574133,2.310921260544441,0.44867671487888094,0.20685076917417558,0.46438622970244303,0.3756380966722297
ALL,ALL,ALL,ALL,MinMax,Não,0.125,0.5930805820000387,1.029656693157043,0.002029477555621625,0.0014286396037162157,0.5951100595556604,1.0308390920712167,2.0024023673626568,2.607770537349163,0.4647887123226128,0.20481098798076627,0.4257612961616126,0.3745375792866588
ALL,ALL,ALL,ALL,MinMax,Não,0.25,0.5930805820000387,1.029656693157043,0.0017160423111069782,0.001344834811770796,0.5947966243111458,1.0307488957577824,2.254739033630231,2.909064379850964,0.5051749753985424,0.2047846952417108,0.3507371964714989,0.3502052098236673
ALL,ALL,ALL,ALL,MinMax,Não,ALL,0.5947359919998416,1.0882939145073476,0.002040363761414693,0.001726422271271202,0.5967763557612564,1.0893653207738498,1.8579699995681105,2.385646551044575,0.43355850199224183,0.20428908574781496,0.4306890602575343,0.37248115773520313
ALL,ALL,ALL,ALL,MinMax,Não,,0.5958156072171045,1.125027407239259,0.0018644977391379014,0.0017691524460056738,0.5976801049562424,1.125969596960007,1.8201802663257438,2.328006079217134,0.4203263767923369,0.20298045327581712,0.4241288427843363,0.3710666050692807
ALL,ALL,ALL,ALL,MinMax,Sim,0.015625,0.9617301000005682,1.4843127786975412,0.0033036228889249683,0.003612686302752175,0.9650337228894932,1.4878250240307764,3.5771802071837597,2.6763762798167723,0.2396959623204125,0.17202950422965432,0.05708644051650497,0.10124786269725905
ALL,ALL,ALL,ALL,MinMax,Sim,0.03125,0.9617301000005682,1.4843127786975412,0.002964880666638892,0.003354654177810036,0.9646949806672072,1.4875468019181737,3.6548735289694165,2.7323882604755703,0.24240989657436418,0.16926952161429415,0.06696465335356593,0.11743133709582498
ALL,ALL,ALL,ALL,MinMax,Sim,0.0625,0.9617301000005682,1.4843127786975412,0.0025765506665225086,0.002936441097301831,0.9643066506670908,1.4871831496066685,3.775677313444093,2.779702887305228,0.23512253606127168,0.16581091797708383,0.04657296069703941,0.09314225405605338
ALL,ALL,ALL,ALL,MinMax,Sim,0.125,0.9617301000005682,1.4843127786975412,0.0022241015554916193,0.0026795867899682226,0.9639542015560598,1.4869070252277694,4.09730150717846,3.0413091789739197,0.2857135992950807,0.17452434596552702,0.04190526899667378,0.10283515926247407
ALL,ALL,ALL,ALL,MinMax,Sim,0.25,0.9617301000005682,1.4843127786975412,0.0018720019999050217,0.0026843566919337925,0.9636021020004732,1.4868519119576227,4.541932129858503,3.391320180370101,0.32384521117890663,0.12591585951133213,0.0234729077871089,0.08451799023957074
ALL,ALL,ALL,ALL,MinMax,Sim,ALL,0.9191730300004565,1.3842857138285702,0.0023206083859449817,0.003019689505232846,0.9214936383864015,1.3867219124986745,3.5935345695616228,2.744665122606823,0.25267559741074935,0.16980192062448393,0.052394458403870296,0.10676521181167685
ALL,ALL,ALL,ALL,MinMax,Sim,,0.8914184191308184,1.3154092305478766,0.0021460715362374033,0.0029429480778807053,0.8935644906670559,1.317469238232465,3.374496503627782,2.5753745893583737,0.25071776504555615,0.1702353898444163,0.05578185762149531,0.10999654116207075
ALL,ALL,ALL,ALL,Robust,ALL,0.015625,0.6471115700000761,1.0907094424003816,0.0029461677777793305,0.002209290881639392,0.6500577377778555,1.0926551369886137,3.6794108155021434,4.090526793766194,0.421627541624569,0.21618205445300728,0.4014599438027937,0.3858000615636435
ALL,ALL,ALL,ALL,Robust,ALL,0.03125,0.6471115700000761,1.0907094424003816,0.0026540514815051723,0.0020304793048688623,0.6497656214815813,1.0924986327327608,3.764549022039586,4.212285895897831,0.4295514252812496,0.21642273308037907,0.3966992635845692,0.3837848760826419
ALL,ALL,ALL,ALL,Robust,ALL,0.0625,0.6471115700000761,1.0907094424003816,0.0023592033333692175,0.0018608389961039693,0.6494707733334454,1.0923503519957876,3.9417377934071176,4.3545496141862605,0.44077806010967524,0.2212412355161477,0.37995791435929355,0.3823026563844728
ALL,ALL,ALL,ALL,Robust,ALL,0.125,0.6471115700000761,1.0907094424003816,0.002043055629627665,0.0016388958138151817,0.6491546256297038,1.0921411830586807,4.361159393142165,5.004687749600076,0.47497206679512155,0.22247537524665678,0.34815910221018215,0.37770233285258387
ALL,ALL,ALL,ALL,Robust,ALL,0.25,0.6471115700000761,1.0907094424003816,0.0017611809999598517,0.0016019820849406125,0.648872751000036,1.0920785131543456,4.792807097092321,5.272996356806093,0.5096511374968378,0.20762230422463554,0.28283663414139926,0.338498360517941
ALL,ALL,ALL,ALL,Robust,ALL,ALL,0.6442692074999893,1.1394615417015135,0.002113744511704439,0.0037571647732803975,0.6463829520116937,1.1408055301750724,4.027618473141491,4.454098423681795,0.43058358673670355,0.21754881046722335,0.35328658744395747,0.3719789375638101
ALL,ALL,ALL,ALL,Robust,ALL,,0.6424154928260195,1.1702831449610607,0.0019578832077410857,0.00456454924585851,0.6443733760337607,1.1714507654162425,3.9752395485142027,4.335816588199529,0.4175890367076287,0.21535731385967913,0.34771964124242044,0.3688852668121113
ALL,ALL,ALL,ALL,Robust,Não,0.015625,0.5917551980000281,0.9846137914600898,0.0028836547111293137,0.00182786839458261,0.5946388527111574,0.9861510420140128,2.9392061103292813,3.6004089370654833,0.44904100748133663,0.2060030430998194,0.47530216333695546,0.3808073060493188
ALL,ALL,ALL,ALL,Robust,Não,0.03125,0.5917551980000281,0.9846137914600898,0.002611446844459099,0.001722574114775777,0.5943666448444872,0.9860579447658314,3.0171176003143105,3.753877725807752,0.45554657803965887,0.20506571444856878,0.46874854890972356,0.3801533016922993
ALL,ALL,ALL,ALL,Robust,Não,0.0625,0.5917551980000281,0.9846137914600898,0.002321571777799415,0.0015807155018593597,0.5940767697778275,0.9859441573516577,3.1480315371644694,3.865682552411628,0.46213410624163787,0.21106398628249165,0.4500987112571264,0.38042844118725394
ALL,ALL,ALL,ALL,Robust,Não,0.125,0.5917551980000281,0.9846137914600898,0.002012904933341664,0.001379883788928643,0.5937681029333698,0.9857562354560097,3.4832163157226375,4.459473757656059,0.4869968689463162,0.20999508577406745,0.4141034367302371,0.38014091142454914
ALL,ALL,ALL,ALL,Robust,Não,0.25,0.5917551980000281,0.9846137914600898,0.001734965377753978,0.0013130432033177507,0.593490163377782,0.9856897384766885,3.868670044207614,4.691564671317461,0.5051689829633265,0.20308813293182987,0.3377274971793302,0.3453526431900533
ALL,ALL,ALL,ALL,Robust,Não,ALL,0.5866005140000198,1.0435165478419623,0.0020728034105334235,0.0038876015941444564,0.5886733174105532,1.0445689220496137,3.2643532903741614,3.997489965002365,0.4477156792710838,0.20866410819930156,0.41729966671191254,0.37435660503881607
ALL,ALL,ALL,ALL,Robust,Não,,0.5832387635652317,1.0803212465871805,0.001916212985513899,0.004814322276618635,0.5851549765507457,1.0812233867115721,3.246813052652313,3.9224746142630287,0.4340307682181555,0.20783345036395967,0.40954114186141566,0.3724530911969456
ALL,ALL,ALL,ALL,Robust,Sim,0.015625,0.9238934300003165,1.484263265349232,0.003258733111029415,0.003533747890748604,0.9271521631113461,1.4876796415501272,7.380434341366457,4.379141773439976,0.29484824964362033,0.21716466830812306,0.0322488461319854,0.06633381029004706
